term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0007610,"behavior",3.254%,-3.433,-4.175,2.752,-1.5607,0.963,0.000,7610,0
GO:0010557,"positive regulation of macromolecule biosynthetic process",9.406%,-1.050, 6.840,3.212,-3.5800,0.621,0.000,10557,0
GO:1903508,"positive regulation of nucleic acid-templated transcription",7.905%,null,null,3.137,-3.2366,0.605,0.914,10557,1
GO:0010604,"positive regulation of macromolecule metabolic process",16.613%,null,null,3.459,-2.3449,0.629,0.701,10557,1
GO:0009891,"positive regulation of biosynthetic process",10.340%,null,null,3.254,-2.8239,0.656,0.615,10557,1
GO:1902680,"positive regulation of RNA biosynthetic process",8.027%,null,null,3.144,-3.2269,0.606,0.902,10557,1
GO:0045944,"positive regulation of transcription from RNA polymerase II promoter",6.111%,null,null,3.025,-3.8477,0.620,0.789,10557,1
GO:0031328,"positive regulation of cellular biosynthetic process",10.167%,null,null,3.246,-3.1215,0.616,0.875,10557,1
GO:0031325,"positive regulation of cellular metabolic process",16.590%,null,null,3.459,-1.5735,0.628,0.793,10557,1
GO:0051254,"positive regulation of RNA metabolic process",8.304%,null,null,3.158,-2.7773,0.623,0.795,10557,1
GO:0045935,"positive regulation of nucleobase-containing compound metabolic process",9.763%,null,null,3.229,-3.0329,0.620,0.842,10557,1
GO:0051173,"positive regulation of nitrogen compound metabolic process",10.404%,null,null,3.256,-1.4123,0.656,0.702,10557,1
GO:0010628,"positive regulation of gene expression",9.833%,null,null,3.232,-2.9208,0.653,0.639,10557,1
GO:0045893,"positive regulation of transcription, DNA-templated",7.905%,null,null,3.137,-3.0000,0.605,0.876,10557,1
GO:0043009,"chordate embryonic development",3.260%, 3.543,-0.893,2.753,-5.2573,0.572,0.000,43009,0
GO:0040019,"positive regulation of embryonic development",0.202%,null,null,1.556,-2.6556,0.575,0.569,43009,1
GO:0048704,"embryonic skeletal system morphogenesis",0.537%,null,null,1.973,-2.1518,0.570,0.764,43009,1
GO:0048706,"embryonic skeletal system development",0.704%,null,null,2.090,-3.2426,0.602,0.789,43009,1
GO:0048568,"embryonic organ development",2.435%,null,null,2.626,-3.9318,0.556,0.768,43009,1
GO:0009792,"embryo development ending in birth or egg hatching",3.278%,null,null,2.755,-4.8861,0.580,0.801,43009,1
GO:0048598,"embryonic morphogenesis",3.301%,null,null,2.758,-2.1746,0.546,0.802,43009,1
GO:1901700,"response to oxygen-containing compound",8.679%,-1.150,-7.054,3.178,-1.4056,0.965,0.000,1901700,0
GO:0061351,"neural precursor cell proliferation",0.762%,-4.289, 0.948,2.124,-1.5834,0.935,0.013,61351,0
GO:0003013,"circulatory system process",2.851%, 3.961,-6.063,2.695,-2.3410,0.789,0.150,3013,0
GO:0008015,"blood circulation",2.827%,null,null,2.691,-2.0079,0.789,0.535,3013,1
