term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0010557,positive regulation of macromolecule biosynthetic process,9.41%,-3.6596,0.649,0,positive regulation of macromolecule biosynthesis
GO:0009893,positive regulation of metabolic process,17.72%,-1.5654,0.752,0.395,positive regulation of macromolecule biosynthesis
GO:0051094,positive regulation of developmental process,6.82%,-2.9208,0.576,0.32,positive regulation of macromolecule biosynthesis
GO:0051240,positive regulation of multicellular organismal process,8.33%,-1.7852,0.594,0.334,positive regulation of macromolecule biosynthesis
GO:0032502,developmental process,33.98%,-1.3054,0.978,0,developmental process
GO:0043009,chordate embryonic development,3.26%,-4.9666,0.621,0,chordate embryonic development
GO:0050793,regulation of developmental process,12.95%,-2.9245,0.679,0.355,chordate embryonic development
GO:0003013,circulatory system process,2.85%,-2.4191,0.819,0.15,chordate embryonic development
GO:0007507,heart development,2.89%,-1.8539,0.673,0.386,chordate embryonic development
GO:0045165,cell fate commitment,1.40%,-1.3261,0.781,0.189,chordate embryonic development
GO:0001501,skeletal system development,2.81%,-2.8928,0.698,0.267,chordate embryonic development
GO:0003002,regionalization,1.92%,-1.3116,0.725,0.239,chordate embryonic development
GO:0048513,animal organ development,18.72%,-3.2924,0.61,0.432,chordate embryonic development
GO:0009888,tissue development,10.91%,-2.8268,0.704,0.377,chordate embryonic development
GO:0009887,animal organ morphogenesis,5.67%,-5.8356,0.62,0.467,chordate embryonic development
GO:0072359,circulatory system development,5.36%,-1.7721,0.673,0.439,chordate embryonic development
GO:0001822,kidney development,1.54%,-3.3449,0.676,0.232,chordate embryonic development
GO:0051239,regulation of multicellular organismal process,15.27%,-3.0545,0.75,0.197,chordate embryonic development
GO:0048705,skeletal system morphogenesis,1.20%,-1.8665,0.645,0.317,chordate embryonic development
GO:0007423,sensory organ development,2.97%,-2.3726,0.672,0.354,chordate embryonic development
GO:0009653,anatomical structure morphogenesis,13.87%,-6.4685,0.693,0.292,chordate embryonic development
GO:0009790,embryo development,5.51%,-5.983,0.688,0.324,chordate embryonic development
GO:0001655,urogenital system development,1.82%,-3.2684,0.712,0.247,chordate embryonic development
GO:0071407,cellular response to organic cyclic compound,3.10%,-2.7645,0.898,0,cellular response to organic cyclic compound
GO:1901701,cellular response to oxygen-containing compound,5.63%,-1.4763,0.893,0.492,cellular response to organic cyclic compound
GO:1901700,response to oxygen-containing compound,8.68%,-2.3893,0.902,0.367,cellular response to organic cyclic compound
GO:0009719,response to endogenous stimulus,9.18%,-1.6091,0.94,0.143,cellular response to organic cyclic compound
GO:0071495,cellular response to endogenous stimulus,7.14%,-2.2411,0.941,0.117,cellular response to organic cyclic compound
GO:0061351,neural precursor cell proliferation,0.76%,-1.5952,0.943,0.013,neural precursor cell proliferation
GO:2000177,regulation of neural precursor cell proliferation,0.43%,-1.5768,0.913,0.374,neural precursor cell proliferation
