"","SampleID","Sample","Replicate","Clutch","Timepoint","Measurement","MeasureType","PhenotypeSum","PhenotypeNotocord","PhenotypeNeuron","PhenotypeMorphology","Stain","Other.Notes","SampleFull"
"1","tracer","control",1,"22120","72hpa",430.035,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.1.22120"
"2","tracer","control",1,"22120","72hpa",661.819,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.1.22120"
"3","tracer","control",2,"22120","72hpa",568.472,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.2.22120"
"4","tracer","control",2,"22120","72hpa",721.326,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.2.22120"
"5","tracer","control",3,"22120","72hpa",544.828,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.3.22120"
"6","tracer","control",3,"22120","72hpa",653.744,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.3.22120"
"7","tracer","control",4,"22120","72hpa",545.637,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.4.22120"
"8","tracer","control",4,"22120","72hpa",674.612,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.4.22120"
"9","tracer","control",5,"22120","72hpa",557.224,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.5.22120"
"10","tracer","control",5,"22120","72hpa",697.773,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.5.22120"
"11","tracer","control",6,"22120","72hpa",548.49,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.6.22120"
"12","tracer","control",6,"22120","72hpa",682.173,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.6.22120"
"13","tracer","control",7,"22120","72hpa",466.27,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.7.22120"
"14","tracer","control",7,"22120","72hpa",681.355,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.7.22120"
"15","tracer","control",8,"22120","72hpa",655.79,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.8.22120"
"16","tracer","control",8,"22120","72hpa",783.063,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.8.22120"
"17","tracer","control",9,"22120","72hpa",553.292,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.9.22120"
"18","tracer","control",9,"22120","72hpa",655.166,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.9.22120"
"19","tracer","control",10,"22120","72hpa",539.89,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.10.22120"
"20","tracer","control",10,"22120","72hpa",757.245,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.10.22120"
"21","tracer","control",11,"22120","72hpa",458.853,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.11.22120"
"22","tracer","control",11,"22120","72hpa",746.264,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.11.22120"
"23","tracer","control",12,"22120","72hpa",489.704,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","control.72hpa.12.22120"
"24","tracer","control",12,"22120","72hpa",647.343,"Tail",0,0,0,0,"0","vivostudy_final dose","control.72hpa.12.22120"
"25","pbx3_VMO","pbx3MO",1,"22120","72hpa",399.918,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.1.22120"
"26","pbx3_VMO","pbx3MO",1,"22120","72hpa",481.521,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.1.22120"
"27","pbx3_VMO","pbx3MO",2,"22120","72hpa",429.561,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.2.22120"
"28","pbx3_VMO","pbx3MO",2,"22120","72hpa",534.855,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.2.22120"
"29","pbx3_VMO","pbx3MO",3,"22120","72hpa",420.539,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.3.22120"
"30","pbx3_VMO","pbx3MO",3,"22120","72hpa",523.167,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.3.22120"
"31","pbx3_VMO","pbx3MO",4,"22120","72hpa",453.116,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.4.22120"
"32","pbx3_VMO","pbx3MO",4,"22120","72hpa",528.037,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.4.22120"
"33","pbx3_VMO","pbx3MO",5,"22120","72hpa",250.459,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.5.22120"
"34","pbx3_VMO","pbx3MO",5,"22120","72hpa",396.394,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.5.22120"
"35","pbx3_VMO","pbx3MO",6,"22120","72hpa",406.414,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.6.22120"
"36","pbx3_VMO","pbx3MO",6,"22120","72hpa",502.837,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.6.22120"
"37","pbx3_VMO","pbx3MO",7,"22120","72hpa",211.773,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.7.22120"
"38","pbx3_VMO","pbx3MO",7,"22120","72hpa",348.006,"Tail",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.7.22120"
"39","pbx3_VMO","pbx3MO",8,"22120","72hpa",403.704,"Spinal Cord",0,0,0,0,"0","vivostudy_final dose","pbx3MO.72hpa.8.22120"
